,uri,track_name,explicit
5,spotify:track:4HY85bYciD099sE3ldnbd6,Tempus,False
4,spotify:track:6V4z1ZsxWzHv8xgPyUDplb,Firmament,False
3,spotify:track:73E4F1WkQWFLpMkhFWsFof,Stechmück,False
2,spotify:track:4w0tSsSRwTjWJidmTzP8HG,Alp,False
1,spotify:track:3EiZaX03fYdPKhsoji5p96,Grauer Sand,False
6,spotify:track:6dQaGieDPrxyk24KsVoaQG,Allermannsharnisch,False
138,spotify:track:5MM6iTvhrHg3OwaFkpXwVs,Can’t Believe It,True
137,spotify:track:58Tsiaq7RADPlDd1YaJiSe,Flyest of my Generation,True
136,spotify:track:3iFEj0Lz2WkSAHXYbIxDWO,WHO YOU TOUCH,True
135,spotify:track:2dD7MUsX88wgqYK1N6N7SM,JIGGY IN JERSEY (feat. Sha EK and DJ Swill B),True
134,spotify:track:15sv4nhUk8qYIAg5Q6IHe4,COPY AND PASTE,True
133,spotify:track:6dQ21YkAtisT1ZAa6J6RGj,REAL HIPS,True
132,spotify:track:3YcynHl7s3YdCKL0Rj7nks,LURKIN',True
129,spotify:track:5VA9OInZsSLcjGq8EbaeWc,DON'T MIX,True
130,spotify:track:746o9hdYc5yC7BuTFGrjU4,TELL ME SOMETHING,True
128,spotify:track:45MeHMKhriHWIgtl7zAHWo,BEAUTIFUL DIAMONDS (feat. skaiwater),True
127,spotify:track:0TtJZfTIuiekSdU4jt1DcM,KNOCKIN',True
126,spotify:track:649CwptryhWTGafaWiFEix,BOUNCIN' (feat. NLE Choppa),True
125,spotify:track:5zMhI0Enc9RmMdxTR85ypB,INFLUENCE,True
124,spotify:track:633Pp1sI4wpWFwYHHOnF6Y,FREE BRO,True
17,spotify:track:7D2KDqPofjQoNhe63TCk1U,goonies contra E.T. (feat. Sarah La Morena & El Individuo) - Danny Brasco & Nick Hook's Versión,True
131,spotify:track:7ERd87EHVWn9585J4qXxPS,PIANO (feat. Lay Bankz),True
139,spotify:track:0JOFB6I6pIOXgieSBVFCNf,Let Me Know (feat. Jeremih),True
142,spotify:track:07iFGT6m9TmU4uc91soNa0,More Action,True
141,spotify:track:3PJQqltBmNhZYBR701QgSs,Biggest Stepper,True
13,spotify:track:553KosD4UoDEFELbfHANCR,yankee y el valiente - TROOKO's Versión,True
14,spotify:track:1dUU5pj50EjhlXNkdXSQSv,ooh la la (feat. Santa Fe Klan) - Mexican Institute Of Sound Versión,True
15,spotify:track:4NqA2uQZsBGBelv77weqdi,fuera de vista (feat. Baco Exu Do Blues) - TROOKO’s Versión,True
16,spotify:track:3pHIwShgtyXcd8t97OWGTD,"santa calamifuck - Eva, Chucho, Yulian & Nick Hook's Versión",True
154,spotify:track:6xf2XOhikvryHlrE5wspmi,Who We Are,True
153,spotify:track:313ceO8148ttTgIqPucwkm,FYM,True
152,spotify:track:1hb6Cu58KjrXtn2wdi2uVT,Suffer,True
140,spotify:track:4Novzr5bJlwASkEvXa3F3T,Add It Up,True
151,spotify:track:7G3LCPNhLDeBUdKIRxpSDo,Have It Your Way,True
149,spotify:track:1lGxCBwimv3fTVGjkl5Pyw,Party,True
148,spotify:track:4ZRYYfcmE5fxmf0BgBZ9Xo,I Guess,True
147,spotify:track:0rN7NOwpEBI3hNECfXcVsW,Pretty Much,True
18,spotify:track:3bErW9oonJmaElbaPfJPlg,"caminando en la nieve (feat. Akapellah, Apache & Pawmps) - Orestes Gomez & Nick Hook’s Versión",True
145,spotify:track:6hDNndlWsp21hob5ISINeZ,Jeeezy WYA,True
144,spotify:track:41c0EzGWDEIR3kp6tvtGXM,Only 4 the Night,True
143,spotify:track:0PZeTKTaPOIIZEMsVSAZYC,Have You Ever (feat. Cash Kidd),True
150,spotify:track:50btpvb36fPj58i5OF71U4,Homeless,True
146,spotify:track:1pamUljueO309R98maH3D4,Would You Care,True
69,spotify:track:3fGgCblTwbJtnxNGPhyFCP,Took Some Time,True
21,spotify:track:3X7GZQVeQrdOUdDPCh19f5,el suelo debajo - Son Rompe Pera's Versión,True
48,spotify:track:1LzPc545iIk0Hx9KAd08Ii,ark doors,True
49,spotify:track:1J4XJi1UKvQD8BcSjDjzx3,lampião's flow,True
50,spotify:track:2kczYaZ1Jgp1iA6UILX348,tennessee farmer jutsu,True
51,spotify:track:3MQxoFbntfI4o3pcFopsQV,boot knife,True
52,spotify:track:5FDgf9hKJALqiue6T8KYal,Sincerely Yours,True
53,spotify:track:2tdubVE0KJolFEz4iKnmg4,"I Love You, But...",True
54,spotify:track:4QUdZkRpmWOknHa3f4H46O,Mathematician/BlackOut,True
55,spotify:track:2c73adneLNrtYyeX1ktkRW,We So Young,True
56,spotify:track:5V2yCUk9CwNYgXDXyHJN3A,Nightmares & Dreams,True
57,spotify:track:0nKQnOMlRodEdbnLJAv69o,Tired Of Me,True
58,spotify:track:6xcxwfplKbm2wHdUDQst2a,Chokehold,True
59,spotify:track:1PfSlx5nv4SIFi6Cnq2yR5,Spare Me,True
60,spotify:track:2jsa4vmcnHSwEolEtPGiCO,Alter Ego 2,True
61,spotify:track:4BsUPz9hcvOjTT6yp03jPv,Craxk Flow,True
62,spotify:track:5lEyB0XnyPFMIszdhPdsTB,Unusual,True
63,spotify:track:4ETVBlqxyZj2skQSfYiSqy,Closed Curtains,True
64,spotify:track:4Wn6TZnmOcF4xw27WQZ12y,Pass It On,True
65,spotify:track:7ye775acgIF8BCiJurOXEn,Chain Smoking,True
66,spotify:track:490iuopAh0GGkiwwADWH5v,Swim,True
67,spotify:track:1X1C389pFpMWzmZA3lqF6n,Red Rum,True
68,spotify:track:5IZuaJQqztvTT6PSzNrgfP,What You Know,True
47,spotify:track:3Xj0lnrZTc92Xl58Xm2TKW,mythsysizer instinct,True
46,spotify:track:4jaKOKhzeDqTaKw0fCDRBO,sittlichkeit,True
45,spotify:track:5WjWzgE0nB0nbUEA1fkSLh,"consolation (inspired by Butter Sunday, a poem by Gabrielle Octavia Rucker)",True
44,spotify:track:7q1TqldKdyDmeIeZHawPsZ,ours,True
22,spotify:track:0lMPwUyImqz8nWK1lUx9C1,"tirando el detonador (feat. Lido Pimienta, Javier Arce & Iggor Cavalera) - Mas Aya & Nick Hook's Versión",True
23,spotify:track:4xB3Dluw8uXXd0MFWM4GYl,unas palabras para el pelotón de fusilamiento (radiación) - Adrian Terrazas-Gonzalez & El Producto’s Versión,True
24,spotify:track:24ESADJEHv32HKuXjtUNGp,Vibe Of The Year,True
25,spotify:track:2glMQutgyDHGWxPAdODb68,Ride Or Die,True
26,spotify:track:5xA0ZokKrNDO2wak9svtD8,WHAM,True
27,spotify:track:4aZtYr0cAYmSJgtQUurlXS,3's Company,True
28,spotify:track:4yOIqYneValFYkbwEtwS4v,Let Me See Your Phone,True
29,spotify:track:1o5EeUhMDSNguOOdXde0La,Where’s My Sunshine?,True
30,spotify:track:3gaEL32AUwfNAinQhFUMbE,Best That I Got,True
31,spotify:track:61dlOsLjABToOe5RzZ5Dqf,Can’t Hold You Down,True
20,spotify:track:54L7t7btsJBtjzSNjeghg9,nunca mirar hacia atrás - Bomba Estéreo's Versión,True
32,spotify:track:67VAWMBdF8zvuVUSgYlv51,Bad News,True
34,spotify:track:0OGb6jO7EmCt469090lv3B,A Mother’s Love,True
35,spotify:track:6mB5z3Rjho5MAXUUfY0Q2Z,Note To Self,True
36,spotify:track:77mg681sO2ScMkV4ZB7pKD,Soul To Take,True
37,spotify:track:09oWpz1zSRScuPYFFbGAmq,Big Baby DRAM,True
38,spotify:track:0u9Y12SZAZkasLZikMyzpQ,PPL,True
39,spotify:track:6ILiZ6ggM5GkYOcrJK4R6k,Reflections,True
40,spotify:track:7kUK1Lm1oApWgXEfBW1379,First Time Again,True
41,spotify:track:3N83asEtFNsjVKXnJTHBua,WWYD? Part 2,True
42,spotify:track:4NVLbXSkwoSRahMIcs43bu,WHAM - Live,True
43,spotify:track:12WtBygLM06NOYXm3aiQoD,fighting back,True
33,spotify:track:2AbtmCQEkXzX5z9FHcBoXL,Angry,True
19,spotify:track:6ey8aat11RgL4jYvC4lRAy,JU$T (feat. Pharrell Williams & Zack de la Rocha) - Toy Selectah Versión,True
